0 27
1 27
2 27
3 27
4 27
5 27
6 27
7 27
8 28
9 28
10 28
11 28
12 28
13 28
14 28
15 28
16 28
17 28
18 29
19 29
20 29
21 29
22 29
23 29
24 29
25 29
26 30
27 30
28 30
29 30
30 30
31 31
32 30
33 30
34 32
35 31
36 31
37 32
38 32
39 33
40 33
41 34
42 34
43 35
44 33
45 45
46 35
47 45
48 45
49 34
50 34
51 36
52 34
53 34
54 33
55 33
56 34
57 33
58 33
59 33
60 32
61 32
62 32
63 32
64 31
65 31
66 31
67 31
68 31
69 31
70 31
71 30
72 31
73 31
74 31
75 31
76 30
77 30
78 30
79 30
80 30
81 30
82 30
83 30
84 30
85 30
86 30
87 30
88 30
89 30
